05:19:47 INFO  fir_decimate.c:119: Config succesfully loaded from daq_chain_config.ini
05:19:47 INFO  fir_decimate.c:120: Channel number: 9
05:20:11 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[53]
05:20:11 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[53]
05:20:11 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[54]
05:20:11 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[54]
05:20:12 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[55]
05:20:12 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[55]
05:20:12 TRACE fir_decimate.c:240: --> Frame received: type: 3, daq ind:[56]
05:20:12 TRACE fir_decimate.c:330: <--Transfering frame type: 3, daq ind:[56]
05:20:12 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[57]
05:20:12 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[57]
05:20:12 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[58]
05:20:12 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[58]
05:20:13 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[59]
05:20:13 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[59]
05:20:13 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[60]
05:20:13 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[60]
05:20:13 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[61]
05:20:13 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[61]
05:20:13 TRACE fir_decimate.c:240: --> Frame received: type: 3, daq ind:[62]
05:20:13 TRACE fir_decimate.c:330: <--Transfering frame type: 3, daq ind:[62]
05:20:14 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[63]
05:20:14 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[63]
05:20:14 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[64]
05:20:14 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[64]
05:20:14 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[65]
05:20:14 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[65]
05:20:15 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[66]
05:20:15 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[66]
05:20:15 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[67]
05:20:15 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[67]
05:20:15 TRACE fir_decimate.c:240: --> Frame received: type: 3, daq ind:[68]
05:20:15 TRACE fir_decimate.c:330: <--Transfering frame type: 3, daq ind:[68]
05:20:15 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[69]
05:20:15 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[69]
05:20:16 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[70]
05:20:16 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[70]
05:20:16 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[71]
05:20:16 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[71]
05:20:16 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[72]
05:20:16 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[72]
05:20:16 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[73]
05:20:16 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[73]
05:20:17 TRACE fir_decimate.c:240: --> Frame received: type: 3, daq ind:[74]
05:20:17 TRACE fir_decimate.c:330: <--Transfering frame type: 3, daq ind:[74]
05:20:17 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[75]
05:20:17 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[75]
05:20:17 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[76]
05:20:17 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[76]
05:20:18 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[77]
05:20:18 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[77]
05:20:18 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[78]
05:20:18 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[78]
05:20:18 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[79]
05:20:18 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[79]
05:20:18 TRACE fir_decimate.c:240: --> Frame received: type: 3, daq ind:[80]
05:20:18 TRACE fir_decimate.c:330: <--Transfering frame type: 3, daq ind:[80]
05:20:19 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[81]
05:20:19 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[81]
05:20:19 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[82]
05:20:19 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[82]
05:20:19 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[83]
05:20:19 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[83]
05:20:19 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[84]
05:20:19 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[84]
05:20:20 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[85]
05:20:20 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[85]
05:20:20 TRACE fir_decimate.c:240: --> Frame received: type: 3, daq ind:[86]
05:20:20 TRACE fir_decimate.c:330: <--Transfering frame type: 3, daq ind:[86]
05:20:20 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[87]
05:20:20 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[87]
05:20:21 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[88]
05:20:21 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[88]
05:20:21 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[89]
05:20:21 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[89]
05:20:21 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[90]
05:20:21 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[90]
05:20:21 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[91]
05:20:21 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[91]
05:20:22 TRACE fir_decimate.c:240: --> Frame received: type: 3, daq ind:[92]
05:20:22 TRACE fir_decimate.c:330: <--Transfering frame type: 3, daq ind:[92]
05:20:22 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[93]
05:20:22 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[93]
05:20:22 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[94]
05:20:22 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[94]
05:20:22 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[95]
05:20:22 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[95]
05:20:23 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[96]
05:20:23 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[96]
05:20:23 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[97]
05:20:23 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[97]
05:20:23 TRACE fir_decimate.c:240: --> Frame received: type: 3, daq ind:[98]
05:20:23 TRACE fir_decimate.c:330: <--Transfering frame type: 3, daq ind:[98]
05:20:24 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[99]
05:20:24 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[99]
05:20:24 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[100]
05:20:24 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[100]
05:20:24 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[101]
05:20:24 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[101]
05:20:24 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[102]
05:20:24 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[102]
05:20:25 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[103]
05:20:25 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[103]
05:20:25 TRACE fir_decimate.c:240: --> Frame received: type: 3, daq ind:[104]
05:20:25 TRACE fir_decimate.c:330: <--Transfering frame type: 3, daq ind:[104]
05:20:25 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[105]
05:20:25 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[105]
05:20:25 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[106]
05:20:25 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[106]
05:20:26 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[107]
05:20:26 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[107]
05:20:26 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[108]
05:20:26 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[108]
05:20:26 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[109]
05:20:26 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[109]
